# Annotazioni dei componenti di terze parti - traguardo T-03, criterio 5.
#
# Formato dichiarato in pipeline/README-COMPONENTI.md. Dati separati da tabulazione, righe di
# commento con «#». Il controllo scripts/verifica-registro-componenti.sh confronta questo file con
# la distinta generata e FA FALLIRE la costruzione quando un componente è presente nella distinta
# e assente da qui, oppure quando un componente ha licenza segnata come incompatibile o
# indeterminabile. Modificare questo file senza leggere il README produce quasi sempre un errore
# che il README avrebbe evitato.
#
componente	versione	licenza_dichiarata	compatibilita_apache_2_0	motivo_inclusione	canale_di_avviso
# --- Righe generate da scripts/genera-annotazioni-componenti.py ---
# Componenti TRANSITIVI: il progetto non li ha scelti. La compatibilita' e'
# DERIVATA dall'identificativo SPDX dichiarato, non da una lettura del testo
# della licenza. Le righe sopra questo blocco sono scritte a mano e non si
# rigenerano: sono le dipendenze che il progetto ha scelto.
@11ty/gray-matter	1.0.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/utils. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/abtesting	1.23.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/autocomplete-core	1.19.9	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/theme-search-algolia. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/autocomplete-plugin-algolia-insights	1.19.9	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/autocomplete-core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/autocomplete-shared	1.19.9	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/autocomplete-core, @algolia/autocomplete-plugin-algolia-insights. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-abtesting	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-analytics	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-common	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/abtesting, @algolia/client-abtesting, @algolia/client-analytics e altri 11. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-insights	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-personalization	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-query-suggestions	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/client-search	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/autocomplete-shared, algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/events	4.0.1	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch-helper. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/ingestion	1.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/monitoring	1.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/recommend	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira algoliasearch. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/requester-browser-xhr	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/abtesting, @algolia/client-abtesting, @algolia/client-analytics e altri 8. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/requester-fetch	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/abtesting, @algolia/client-abtesting, @algolia/client-analytics e altri 8. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@algolia/requester-node-http	5.57.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @algolia/abtesting, @algolia/client-abtesting, @algolia/client-analytics e altri 8. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@antfu/install-pkg	1.1.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @iconify/utils. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/code-frame	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core, @babel/template, @babel/traverse e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/compat-data	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-compilation-targets, @babel/preset-env, babel-plugin-polyfill-corejs2. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/core	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-define-polyfill-provider e altri 96. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/generator	7.29.8	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core, @babel/traverse, @docusaurus/babel. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-annotate-as-pure	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-remap-async-to-generator e altri 5. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-compilation-targets	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core, @babel/helper-define-polyfill-provider, @babel/plugin-transform-classes e altri 3. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-create-class-features-plugin	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-private-methods e altri 2. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-create-regexp-features-plugin	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-syntax-unicode-sets-regex, @babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-named-capturing-groups-regex e altri 5. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-define-polyfill-provider	0.6.8	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira babel-plugin-polyfill-corejs2, babel-plugin-polyfill-corejs3, babel-plugin-polyfill-regenerator. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-globals	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-classes, @babel/traverse. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-member-expression-to-functions	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/helper-replace-supers. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-module-imports	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-module-transforms, @babel/plugin-transform-async-to-generator, @babel/plugin-transform-react-jsx e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-module-transforms	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs e altri 2. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-optimise-call-expression	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/helper-replace-supers. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-plugin-utils	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-define-polyfill-provider, @babel/plugin-bugfix-firefox-class-in-computed-class-key, @babel/plugin-bugfix-safari-class-field-initializer-scope e altri 71. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-remap-async-to-generator	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-async-generator-functions, @babel/plugin-transform-async-to-generator. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-replace-supers	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/plugin-transform-classes, @babel/plugin-transform-object-super. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-skip-transparent-expression-wrappers	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-create-class-features-plugin, @babel/plugin-bugfix-safari-rest-destructuring-rhs-array, @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining e altri 4. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-string-parser	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/types. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-validator-identifier	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/code-frame, @babel/helper-module-transforms, @babel/plugin-transform-modules-systemjs e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-validator-option	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-compilation-targets, @babel/preset-env, @babel/preset-react e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helper-wrap-function	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/helper-remap-async-to-generator. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/helpers	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/parser	7.29.8	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core, @babel/generator, @babel/template e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-firefox-class-in-computed-class-key	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-safari-class-field-initializer-scope	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-proposal-private-property-in-object	7.21.0-placeholder-for-preset-env.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-dynamic-import	7.8.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/babel. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-import-assertions	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-import-attributes	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-jsx	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-react-jsx, @babel/preset-typescript. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-typescript	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-typescript. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-syntax-unicode-sets-regex	7.18.6	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-arrow-functions	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-async-generator-functions	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-async-to-generator	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-block-scoped-functions	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-block-scoping	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-class-properties	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-class-static-block	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-classes	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-computed-properties	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-destructuring	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-explicit-resource-management, @babel/plugin-transform-object-rest-spread, @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-dotall-regex	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-duplicate-keys	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-duplicate-named-capturing-groups-regex	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-dynamic-import	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-explicit-resource-management	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-exponentiation-operator	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-export-namespace-from	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-for-of	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-function-name	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-json-strings	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-literals	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-logical-assignment-operators	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-member-expression-literals	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-modules-amd	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-modules-commonjs	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env, @babel/preset-typescript. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-modules-systemjs	7.29.8	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-modules-umd	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-named-capturing-groups-regex	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-new-target	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-nullish-coalescing-operator	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-numeric-separator	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-object-rest-spread	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-object-super	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-optional-catch-binding	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-optional-chaining	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-parameters	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/plugin-transform-object-rest-spread, @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-private-methods	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-private-property-in-object	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@babel/plugin-transform-property-literals	7.29.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
