# Vincoli in vigore
#
# GENERATO. Non si modifica a mano: si modifica la bacheca inter-agenti
# .telemedic/context/05_BACHECA_INTERAGENTI.md e si riesegue
# scripts/genera-registri-di-vincoli-e-questioni.py.
#
# Formato: file di testo separato da carattere TAB, codifica UTF-8. Le righe che
# iniziano con # sono commenti. Segue l'intestazione delle colonne e poi una riga
# per voce. Nessuna cella contiene un carattere TAB.
#
# Colonne: sigla, emittente, destinatarie, testo, stato
# Voci: 98

sigla	emittente	destinatarie	testo	stato
V-123	`FUNZ`	`TECH`, `PROD`, `GUIDA`	Il **campo soglia parte vuoto e obbligatorio**: nessuna precompilazione, nemmeno con i valori del percorso o dell'ultimo piano. I riferimenti si mostrano attribuiti, in sola lettura, con azione esplicita di copia	VINCOLO
V-124	`FUNZ`	`ARCH`, `INTEG`, `TECH`	Istante di misura e istante di ricezione sono **due campi distinti obbligatori**; l'identità della misura per l'idempotenza è (sorgente, soggetto, parametro, istante di misura, valore). Le regole operano sull'istante di misura	VINCOLO
V-125	`FUNZ`	`SEC`, `ARCH`, `INTEG`	La separazione **centro servizi / centro erogatore** è vincolo di autorizzazione, non convenzione organizzativa: chi gestisce gli allarmi tecnici non accede al contenuto clinico e la composizione di un ruolo che violi la separazione è rifiutata con errore di validazione (`BR-166`, `RNF-110`)	VINCOLO
V-126	`FUNZ`	`PROTO`, `TECH`, `INTEG`	**Gli esiti tipizzati sono valori di dominio, non codici di errore.** `EX-*` ed `EX-TM-*` descrivono **come è andata a finire** una prestazione, un allarme o un'attesa di rilevazione, e sono contenuto informativo che entra nella documentazione, nella rendicontazione e negli indicatori. **Non confluiscono nel catalogo dei tipi di problema** (V-110) né nel catalogo unico dei codici di errore (`V-130`), non sono emessi come errori di protocollo e non compaiono in un corpo di problema. Un esito anomalo è un'operazione **riuscita** che registra un fatto sfavorevole: confonderlo con un errore fa sparire dai registri clinici ciò che deve restarci	VINCOLO
V-160	`INTEG`	tutte	**Perimetro del contratto pubblico verso terzi.** Sono contratto - e quindi soggetti al processo di dismissione a dodici mesi - solo: percorsi, metodi, parametri e schemi descritti nel documento di interfaccia applicativa; profili FHIR pubblicati e documento di capacità; tipi di evento e relativi schemi di dato; ambiti di autorizzazione documentati; identificatori di tipo di problema e codici di esito; interfacce dei moduli sostituibili; protocollo di messaggistica del componente incorporabile e insieme chiuso delle proprietà di tema. **Tutto il resto è interno e può cambiare senza preavviso.** Nessuna area può ampliare o restringere questo perimetro senza dichiararlo qui	VINCOLO
V-161	`INTEG`	`ARCH`, `FUNZ`, `TECH`, `SEC`	**Nessun contenuto clinico nei messaggi in uscita verso sistemi terzi.** Gli eventi trasportano identificativi e riferimenti; il contenuto si rilegge con una chiamata autenticata sotto l'autorizzazione del ricevente. Vale per i webhook, per le notifiche FHIR (`id-only` come impostazione predefinita, contenuto integrale disabilitato sui canali verso Internet) e per qualunque canale futuro	VINCOLO
V-162	`INTEG`	`SEC`, `TECH`	**Firma dei messaggi in uscita: asimmetrica, con identificativo di chiave risolvibile dal materiale pubblico del progetto.** Il segreto condiviso non è offerto come modalità predefinita: non dà non ripudio e la sua rotazione richiede coordinamento con ciascun integratore. I due riferimenti restano distinti: firma dei messaggi HTTP da un lato, impronta del corpo dall'altro	VINCOLO
V-163	`INTEG`	`FUNZ`, `TECH`, `PROD`	**Limiti invalicabili alla personalizzazione del componente incorporabile.** Indicatore di registrazione in corso, avvisi e testi di consenso, esito della verifica delle chiavi, messaggi di errore clinico e indicatore dello stato di cifratura **non sono tematizzabili né occultabili**. Le proprietà di tema ammesse sono un insieme chiuso e versionato, validate lato server con verifica del contrasto: una configurazione che degrada l'accessibilità **viene rifiutata al salvataggio**, non segnalata come avviso. Nessuna iniezione di fogli di stile arbitrari dall'esterno	VINCOLO
V-164	`INTEG`	tutte	**Corollario operativo di V3.** Una capacità nuova non è completa finché non è raggiungibile da un sistema terzo tramite interfaccia documentata e versionata. L'area che introduce la capacità introduce anche il contratto: non è lavoro rinviabile all'area di integrazione	VINCOLO
V-165	`INTEG`	`SEC`, `FUNZ`, `COMP`	**Il livello di garanzia propagato è quello richiesto, non quello asserito**, e va sempre qualificato per distinguere l'autenticazione **eseguita** dal progetto da quella **riferita** da un integratore. Un'operazione che la normativa lega all'autenticazione forte richiede autenticazione eseguita: un livello riferito da terzi non la soddisfa	VINCOLO
V-166	`INTEG`	tutte	**Corollario applicativo di V-08.** Nessun ambito di autorizzazione, nessun tipo di evento, nessun modulo sostituibile e nessuna configurazione di tenant può costituire un percorso - diretto o mediato da un professionista - con cui un pagatore ottiene contenuto clinico o accesso al fascicolo. Il profilo di integrazione del pagatore è **amministrativo per costruzione**: identificativo della prestazione, esito amministrativo, importo	VINCOLO
V-110	`TECH`	tutte	**Due sole rappresentazioni dell'errore su interfaccia pubblica**: `application/problem+json` (RFC 9457) sul piano applicativo, `OperationOutcome` sul piano di interoperabilità. Nessuna terza forma. Il campo descrittivo **non contiene mai contenuto clinico né identificativi diretti**: finisce nei registri del chiamante. Il catalogo dei tipi di problema è **generato** da un file versionato e un errore non catalogato non può essere emesso	VINCOLO
V-111	`TECH`	`ARCH`, `FUNZ`, `ROAD`, `COMP`	**Espandi e contrai su ogni migrazione dello schema.** Nessun rilascio è insieme distruttivo e funzionale; **due versioni consecutive dell'applicazione devono poter convivere sulla stessa base dati**. È la condizione necessaria all'aggiornamento senza interruzione e al ritorno a una versione precedente. Una funzionalità che richieda una migrazione distruttiva nello stesso rilascio va riprogettata, non autorizzata in deroga	VINCOLO
V-112	`TECH`	`SEC`, `ARCH`, `FUNZ`	**Il contesto di tenant si imposta dentro la transazione, prima di qualunque interrogazione**, con `SET LOCAL` e non con `SET`; in sua assenza le politiche di sicurezza a livello di riga **negano tutto**. Le tabelle hanno l'applicazione forzata della politica anche per il proprietario, e il ruolo applicativo non è proprietario degli oggetti. Nessun accesso ai dati fuori da una transazione con tenant risolto	VINCOLO
V-113	`TECH`	tutte	**Nessun contatore cumulativo grezzo può essere citato come indicatore di qualità.** Perdita, byte, durata dei congelamenti e ritardo del buffer di jitter crescono in modo monotono e vanno **differenziati fra campioni consecutivi**; le medie corrette sono rapporti fra differenze. Vale per documentazione, cruscotti, materiale commerciale e interfacce	VINCOLO
V-114	`TECH`	`PROD`, `FUNZ`, `COMP`	**L'indice di qualità della sessione è proprietario e va dichiarato tale.** Non è un punteggio di opinione media secondo alcuna raccomandazione internazionale: i modelli classici sono di **pianificazione** di reti a banda stretta, i fattori per la codifica audio moderna non sono standardizzati e per il video non esiste nulla di applicabile al tempo reale. La formula è pubblicata; usa il **minimo** fra le dimensioni, non la media	VINCOLO
V-115	`TECH`	`FUNZ`, `PROD`, `INTEG`	**Applicazione di V-11 anche alla registrazione lato server.** Il contenitore dipende dai **codec effettivamente negoziati** nella sessione: il componente di registrazione lo sceglie a runtime senza ricodifica e **registra contenitore e codec effettivi nei metadati**. L'affermazione pubblica è «contenitore standard scelto in funzione dei codec negoziati e registrato nei metadati, cifrato a riposo». **Nessun formato unico può essere dichiarato**, in nessun materiale	VINCOLO
V-140	`DOM`	tutte	**Ogni prestazione è la propria macchina a stati**, selezionata dal tipo. Attori ammessi, obbligo di presenza dell'assistito, asincronia, artefatti obbligatori, esiti ammessi, registrabilità e finestre sono **attributi del catalogo delle prestazioni**, non condizioni sparse nel codice (`DM-10`, `DM-11`). Aggiungere una prestazione è una riga di catalogo più una macchina a stati	VINCOLO
V-141	`DOM`	tutte	**Stato ed esito del contatto sono attributi distinti.** Lo stato dice dove si trova il contatto, l'esito che cosa è successo. `EX-NOSHOW` ed `EX-TECH-PATIENT` condividono lo stato terminale e hanno effetti amministrativi **opposti**: nessuna area può collassarli in un unico campo	VINCOLO
V-142	`DOM`	`ARCH`, `TECH`, `INTEG`, `PROTO`	**La normalizzazione degli identificatori avviene al confine, mai nel dominio** (`DM-31`). Il dominio conosce un identificativo canonico interno e una collezione di identificatori esterni qualificati da dominio di attribuzione. Nessun identificatore esterno è chiave primaria. Contributo a Q-06, che resta di `ARCH`	VINCOLO
V-143	`DOM`	tutte	**Il referto di televisita ha una tipologia documentale propria del fascicolo** (DM 19 novembre 2025, art. 7, lett. p, e All. 1 § 2.20). L'ipotesi «referto di specialistica ambulatoriale» è **errata** e non va usata in alcun documento, esempio, profilo o materiale pubblico	VINCOLO
V-144	`DOM`	tutte	**Il modello del telemonitoraggio è scritto sulla formulazione «raccolta differita di parametri per la revisione periodica del professionista»** (`D46`). Nessun artefatto - documentazione, interfaccia, materiale pubblico, nome di classe o di evento - può usare «monitoraggio in tempo reale», «sorveglianza continua» o formule equivalenti	VINCOLO
V-145	`DOM`	`FUNZ`, `INTEG`, `COMP`, `PROD`	**Il setting di erogazione discrimina regole.** La televisita programmata ed erogata da medico di assistenza primaria o pediatra **non richiede prescrizione** e produce **annotazione digitale in luogo del referto** (DM 30 settembre 2022, All. B; `REQ-59` di `B1`). L'obbligo di referto non è incondizionato e non va cablato come tale	VINCOLO
V-146	`DOM`	`SEC`, `FUNZ`, `INTEG`	**Cinque oggetti di consenso distinti**, con cicli di vita indipendenti: atto sanitario, trattamento dei dati ove applicabile, registrazione, presenza di terzi, trasmissione a sistemi esterni. La revoca di uno non tocca gli altri. Nessun «consenso alla piattaforma» esiste nel modello	VINCOLO
V-147	`DOM`	`ARCH`, `TECH`, `FUNZ`	**Nessun percorso di cura nel codice.** Aggiungere un percorso deve richiedere solo: redazione della definizione, validazione al caricamento, pubblicazione con versione e ambito, modelli di documento e consenso associati, configurazione della copertura. **Mai un rilascio del software né una migrazione di schema** (`DM-92`, `DM-93`)	VINCOLO
V-148	`DOM`	tutte	**L'attesa di rilevazione è un'entità.** L'assenza di misura è una riga che dichiara l'assenza - con finestra attesa, istante di scadenza e causa quando nota - non l'assenza di una riga. È la forma operativa di `V-09` e la condizione perché l'aderenza sia una grandezza definita (`DM-57`)	VINCOLO
V-149	`DOM`	`ARCH`, `SEC`, `TECH`	**L'oscuramento è applicato dal motore di autorizzazione, non dai consumatori**: un unico punto filtra e calcola i totali sull'insieme filtrato. Sei canali di inferenza vanno chiusi tutti (numerazione, conteggi, paginazione, notifiche, differenze fra interrogazioni, messaggi d'errore). **I dati sintetici di collaudo devono comprendere documenti oscurati**, altrimenti nessuna prova esercita il percorso (`DM-73`)	VINCOLO
V-150	`SEC`	tutte	Il registro immutabile e i log applicativi **non contengono contenuto clinico**; i log di diagnostica non portano identificativi diretti dell'assistito	VINCOLO
V-151	`SEC`	`TECH`, `ARCH`, `DOM`	Il terminology server esterno **non riceve identificativi dell'assistito**; nessuna cache persistita su disco	VINCOLO
V-152	`SEC`	tutte	Conservazione: **24 mesi** per i log di tracciabilità, **12 mesi** per i dati di accesso e autenticazione (DM 19 novembre 2025, Allegato 4)	VINCOLO
V-153	`SEC`	`FUNZ`, `TECH`	L'**accesso d'emergenza è requisito funzionale**: motivazione libera obbligatoria, finestra e perimetro limitati, notifica, riesame con esito registrato	VINCOLO
V-154	`SEC`	`INTEG`	Un livello di autenticazione **riferito da un integratore** va marcato come tale e **non** soddisfa i requisiti di autenticazione forte ex art. 64 CAD	VINCOLO
V-155	`SEC`	`TECH`, `ROAD`	Nessuna metrica infrastrutturale del relay può essere etichettata con l'identificativo di sessione	VINCOLO
V-156	`SEC`	`TECH`, `PROD`, `COMP`	**Il progetto non dichiara versioni di protocollo né suite crittografiche negoziate: le misura per sessione e le registra.** La negoziazione avviene fra due estremi che il progetto non controlla; qualunque affermazione statica sarebbe falsa per una parte del parco installato. Il valore effettivamente negoziato è letto dalle statistiche della connessione, conservato fra i metadati della sessione ed esportabile; un valore sotto la soglia minima configurata per tenant produce un evento. Vale anche per il contenitore di registrazione (V-11) e per il trasporto delle interfacce applicative	VINCOLO
V-157	`SEC`	`ARCH`, `TECH`, `INTEG`	**Mediatore unico di uscita.** Nessun componente applicativo apre connessioni verso destinazioni derivate da un dato in ingresso: solo il mediatore ha rotta verso l'esterno, agli altri l'uscita è **negata a livello di rete**. È requisito architetturale, non regola di codifica, perché la difesa non deve dipendere dalla correttezza del codice. Il mediatore applica **nell'ordine**: risoluzione del nome una sola volta con connessione all'indirizzo già risolto; verifica dell'indirizzo risolto con confronto normalizzato e intervalli allineati a prefisso; divieto di seguire redirezioni non ri-verificate; elenchi chiusi di schemi, porte, dimensioni, tempi e salti. Vi confluiscono **cinque** punti di uscita: gateway terminologico, interoperabilità verso infrastrutture nazionali e regionali, webhook verso l'integratore, risoluzione di riferimenti assoluti nelle risorse, recupero di metadata e materiale di chiavi. **Il relay non vi confluisce e non deve**: per esso vale V-10. **Una sola suite di prove di abuso**, eseguita contro il mediatore	VINCOLO
V-130	`PROTO`	tutte	**Catalogo unico dei codici di errore**, generato e condiviso fra piano clinico e piano applicativo: lo stesso concetto porta lo stesso codice nell'esito di operazione e nel corpo di problema. **Un codice non catalogato non può essere emesso**: la catena di costruzione lo verifica	VINCOLO
V-131	`PROTO`	`ARCH`, `TECH`	**RFC 8838 §9**: il protocollo che trasporta i candidati deve consegnarli *«exactly once and in the same order it was conveyed»*. Una diffusione «pubblica e dimentica» fra nodi **non lo garantisce**, e il difetto che ne deriva è intermittente e dipendente dal carico. La distribuzione dello stato di sessione è vincolata da questa riga	VINCOLO
V-132	`PROTO`	tutte	Quando l'identità proviene da un emittente esterno si usa **sempre la delega, mai l'impersonificazione**: nessuna configurazione supportata emette un token privo del claim dell'attore (RFC 8693 §4.1). Criterio di rilascio bloccante, insieme all'isolamento fra tenant	VINCOLO
V-133	`PROTO`	tutte	**Formule di conformità vietate**: «conforme» alle mappe da messaggi a risorse (tutte *Informative*); «standard» per l'intestazione di idempotenza (bozza **scaduta e archiviata**) e per quelle di limitazione del traffico (bozza **attiva**, e la forma a tre campi non è **mai** stata standard); «conforme alla guida italiana» senza la versione (0.2.0, *trial-use draft*); «certificato» su una revisione in commento pubblico; «cifrato fino agli estremi» senza la condizione della modalità senza registrazione. Elenco completo e formule ammesse in `docs/04_protocols/10-conformita-e-prove.md` §2	VINCOLO
V-134	`PROTO`	`ARCH`, `TECH`, `INTEG`	Nella busta degli eventi in modalità binaria l'intestazione con prefisso per il **tipo di contenuto** è **vietata**: è un obbligo negativo esplicito della specifica. Il tipo di contenuto va **solo** nell'intestazione ordinaria. Codificato come prova negativa che fallisce se l'intestazione compare	VINCOLO
V-135	`PROTO`	`INTEG`, `FUNZ`, `SEC`	Il carico degli eventi pubblici trasporta **riferimenti, mai contenuto clinico**: il ricevente recupera il contenuto con una chiamata autenticata. Vale anche per il canale clinico, dove il livello «solo identificativo» è predefinito e «risorsa completa» è **disattivato** verso la rete pubblica	VINCOLO
V-136	`PROTO`	`ARCH`, `TECH`, `COMP`	**Nessun template documentale è cablato.** I template della serializzazione strutturata, i codici di tipologia e i metadati di indicizzazione delle dieci tipologie della telemedicina non sono pubblicamente disponibili (Q-07): l'adattatore esiste come punto di estensione con contratto dichiarato, l'implementazione è rinviata. È applicazione letterale di **V-07**	VINCOLO
V-137	`PROTO`	`ARCH`, `SEC`	**Chiave di sessione e indirizzo della stanza non sono metadati: sono credenziali.** Non vengono persistiti in risorse interrogabili né veicolati in campi di messaggi che transitano per sistemi terzi. Si ottengono con chiamata autenticata, sono monouso e a vita brevissima	VINCOLO
V-190	`GUIDA`	tutte	**L'ambiente di sviluppo deve poter essere avviato su una macchina disconnessa da tutto**: nessun account, nessuna chiave di un fornitore, nessun servizio remoto obbligatorio. È il corollario operativo del criterio C7 di `docs/01_technical/01-stack-e-motivazioni.md` §2 e del divieto trasversale sui dati reali: un ambiente che per funzionare richiede un servizio di terzi è un ambiente che **impone dati di prova sul sistema di qualcun altro**, e nessuno se ne accorge. Una procedura di avvio documentata che richieda una registrazione presso un fornitore è un difetto, non una configurazione. Documentato in `docs/10_fondamenti/17-ambiente-di-sviluppo.md` §1.1	VINCOLO
V-191	`GUIDA`	tutte	**Nessuna procedura documentata può contenere l'aggiramento di un controllo obbligatorio.** I controlli G1-G13 sono **condizioni di ammissibilità**, non giudizi di qualità: aggirarne uno produce un artefatto che non avrebbe potuto essere prodotto e che porta con sé una dichiarazione falsa, con la pipeline verde e la proprietà insussistente. Se un controllo blocca legittimamente uno sviluppo legittimo, **si corregge il controllo con la procedura di revisione prevista**, non lo si disattiva per la propria proposta. Vale in particolare per la lista di ammissione del controllo terminologico, la cui modifica richiede la revisione prevista per il materiale di conformità. `17-ambiente-di-sviluppo.md` §9.4	VINCOLO
V-195	`GUIDA`	tutte	**Nessuna area introduce nella documentazione una fonte primaria nuova senza inserirla in `docs/10_fondamenti/20-fonti-primarie.md`** con denominazione ed estremi completi, oggetto in una frase, luogo di reperimento, documenti che la usano e **data alla quale è stata verificata**. Non è un adempimento redazionale: è la sola condizione che rende possibile, quando una norma è abrogata o sostituita o una norma tecnica esce dall'elenco delle armonizzate, **sapere in un solo passaggio quali documenti ne dipendono**. Un inventario di fonti si degrada in un modo solo - una fonte entra in un capitolo e non entra nell'inventario - e da quel momento è incompleto senza che nessuno se ne accorga. `20-fonti-primarie.md` §§1, 13. Il meccanismo di registrazione della data è `Q-199`	VINCOLO
V-180	`ROAD`	tutte	**EMENDATO DA `D57` e `D58`. La regola resta, la sua ragione cambia.** **Nessun documento del progetto dichiara una data per un traguardo il cui esito non dipende da noi.** Prima la ragione era che quei traguardi appartenevano a un terzo; ora appartengono a noi, e la ragione è un'altra e più stringente: **un'intenzione non è una promessa datata**, e una data pubblicata produce un effetto regolatorio che l'intenzione non produce - la destinazione d'uso si ricava anche dal materiale pubblicato (art. 2, punto 12, e art. 7 del Regolamento (UE) 2017/745). Ricadono nella regola **senza eccezioni**: la marcatura CE, l'accreditamento presso la federazione nazionale delle identità (`D36`, `V-05`, `OUT-22`), il termine di adeguamento alle misure nazionali di sicurezza (`D39`), la disponibilità dei modelli documentali delle tipologie del fascicolo (`Q-07`). Di ciascuno si dichiarano **le condizioni** e **ciò che il progetto fornisce**; mai la data. **Il calendario interno esiste e resta interno**: pianificare una data e pubblicarla come impegno sono due atti distinti. `docs/09_roadmap/00-indice.md` §3	VINCOLO
V-181	`ROAD`	tutte	**Ogni traguardo ha un criterio di completamento binario, verificabile da un terzo** che non ha partecipato al lavoro. Una percentuale di avanzamento non è un criterio. Un traguardo con dieci criteri e nove soddisfatti è un traguardo **non raggiunto**, e il rapporto dice quale criterio manca	VINCOLO
V-182	`ROAD`	`TECH`, `COMP`	**Nessuna riga di codice applicativo precede la catena di costruzione** che genera la distinta dei materiali e il registro degli identificativi di requisito. Non «accompagna»: precede. Unica eccezione ammessa, il codice usa-e-getta delle verifiche empiriche, che è dichiarato tale, vive in un'area separata e **non entra in alcun artefatto distribuito**	VINCOLO
V-183	`ROAD`	tutte	Il rilascio del corpo documentale è per **area completa e in due lingue**, mai per file. Applicazione di `D50` e `D52`: nessuna area è chiusa finché non è navigabile online nelle due lingue. **EMENDATO da `D56`**: l'obbligo delle due lingue come condizione di chiusura resta per le **aree prerequisito** - avvertenze pubbliche, guida dei fondamenti, conformità, sicurezza - dove il controllo di divergenza **blocca**; per il resto del corpus il controllo **segnala**, con rapporto pubblicato a ogni costruzione, e la parte non tradotta è **visibile e misurata** invece che implicita. Il rilascio resta **per area completa, mai per file**	VINCOLO
V-184	`ROAD`	`PROD`, `COMP`, `INTEG`	Nessun materiale del progetto - documentazione, sito, risposta a gara, nota di rilascio, comunicazione pubblica - può presentare una voce `[INTENZIONE]` o `[IPOTESI]` come se fosse `[IMPEGNO]`. È la forma più comune di danno reputazionale in un progetto tecnico, e si commette in buona fede	VINCOLO
V-185	`ROAD`	`TECH`, `SEC`, `COMP`	**Il livello di servizio di aggiornamento dei componenti di terze parti si esprime in giorni dalla pubblicazione dell'avviso, differenziato per gravità, e si misura.** Un impegno espresso in mesi non è pianificabile e non viene accettato: con la cadenza osservata sul nodo di relay - quattordici rilasci in poco più di sette mesi - è già scaduto quando viene pubblicato. Conseguenza di pianificazione: la capacità necessaria a onorarlo è **capacità ricorrente** e va sottratta prima di calcolare qualunque data	VINCOLO
V-186	`ROAD`	tutte	**La conformità alle misure nazionali di sicurezza non ha una data di prodotto.** Il prodotto dichiara le **evidenze** e la data di disponibilità di ciascuna; il termine del soggetto obbligato è determinato dalla comunicazione di inserimento **da lui ricevuta** e non è determinabile dal fornitore (`D39`). Formulazione ammessa in `docs/09_roadmap/00-indice.md` §9.1	VINCOLO
V-187	`ROAD`	tutte	**Pianificato contro desiderabile.** Una voce della coda successiva al primo rilascio non è **pianificata** se non ha insieme criterio di completamento binario, innesco dichiarato e titolare nominato. In assenza anche di uno solo dei tre è **desiderabile**, e va marcata tale in ogni materiale del progetto, comprese le risposte a capitolato	VINCOLO
V-188	`ROAD`	`TECH`, `INTEG`, `ARCH`	**La suite di prove di integrazione esercita sempre almeno due tenant e due integratori distinti**, con configurazioni deliberatamente divergenti: domini di attribuzione degli identificatori diversi, profili di uscita diversi, modalità di recapito degli eventi diverse, insiemi di moduli sostituiti diversi. Una prova che passa con un solo integratore configurato non dimostra la proprietà multi-integratore. È la forma verificabile della difesa contro la dipendenza strutturale da un solo interlocutore	VINCOLO
V-189	`ROAD`	tutte	**Ogni rischio di programma ha un indicatore anticipatore osservabile e un titolare nominato.** Un rischio che si riconosce solo quando è accaduto è un incidente; un rischio di tutti è un rischio di nessuno. Una voce priva di uno dei due va riformulata o chiusa	VINCOLO
V-192	`GUIDA`	`ARCH`, `TECH`, `FUNZ`	**Marcatore di sinteticità persistito nel dato.** Ogni record prodotto dal generatore porta un attributo esplicito di sinteticità **conservato insieme al dato**, non soltanto noto al generatore. È ciò che trasforma la domanda «questo ambiente contiene dati reali?» da un'indagine a **una interrogazione**, e che rende verificabile la separazione fra ambienti di `09-integrazione-continua-e-rilascio.md` §9 e la regola «mai esportazioni di produzione» di `08-qualita-e-test.md` §4.1. Deriva da `docs/10_fondamenti/03-il-dato-clinico.md` §10.4 e va recepito nel **modello dati**, non lasciato alla sola fabbrica di prova	VINCOLO
